ticker,sector,GICS Sub-Industry,stock_name
UHS,Health Care,Health Care Facilities,Universal Health Services
VLO,Energy,Oil & Gas Refining & Marketing,Valero Energy
VEEV,Health Care,Health Care Technology,Veeva Systems
VTR,Real Estate,Health Care REITs,Ventas
VLTO,Industrials,Environmental & Facilities Services,Veralto
VRSN,Information Technology,Internet Services & Infrastructure,Verisign
VRSK,Industrials,Research & Consulting Services,Verisk Analytics
VZ,Communication Services,Integrated Telecommunication Services,Verizon
VRTX,Health Care,Biotechnology,Vertex Pharmaceuticals
VRT,Industrials,Electrical Components & Equipment,Vertiv
VTRS,Health Care,Pharmaceuticals,Viatris
VICI,Real Estate,Hotel & Resort REITs,Vici Properties
V,Financials,Transaction & Payment Processing Services,Visa Inc.
VST,Utilities,Electric Utilities,Vistra Corp.
VMC,Materials,Construction Materials,Vulcan Materials Company
WRB,Financials,Property & Casualty Insurance,W. R. Berkley Corporation
GWW,Industrials,Industrial Machinery & Supplies & Components,W. W. Grainger
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment,Wabtec
WMT,Consumer Staples,Consumer Staples Merchandise Retail,Walmart
DIS,Communication Services,Movies & Entertainment,Walt Disney Company (The)
WBD,Communication Services,Broadcasting,Warner Bros. Discovery
WM,Industrials,Environmental & Facilities Services,Waste Management
WAT,Health Care,Life Sciences Tools & Services,Waters Corporation
WEC,Utilities,Electric Utilities,WEC Energy Group
WFC,Financials,Diversified Banks,Wells Fargo
WELL,Real Estate,Health Care REITs,Welltower
WST,Health Care,Health Care Supplies,West Pharmaceutical Services
WDC,Information Technology,"Technology Hardware, Storage & Peripherals",Western Digital
WY,Real Estate,Timber REITs,Weyerhaeuser
WSM,Consumer Discretionary,Homefurnishing Retail,"Williams-Sonoma, Inc."
WMB,Energy,Oil & Gas Storage & Transportation,Williams Companies
WTW,Financials,Insurance Brokers,Willis Towers Watson
WDAY,Information Technology,Application Software,"Workday, Inc."
WYNN,Consumer Discretionary,Casinos & Gaming,Wynn Resorts
XEL,Utilities,Multi-Utilities,Xcel Energy
XYL,Industrials,Industrial Machinery & Supplies & Components,Xylem Inc.
YUM,Consumer Discretionary,Restaurants,Yum! Brands
ZBRA,Information Technology,Electronic Equipment & Instruments,Zebra Technologies
ZBH,Health Care,Health Care Equipment,Zimmer Biomet
ZTS,Health Care,Pharmaceuticals,Zoetis
